Wang_2004	Marchive_2013_20min	HN_induced_Widiez_2011	Alvarez_2020_NLP7RegulatedGenes	Alvarez_2019_CinetiqueKNO3_2h	Gaudinier_2018_CoreGenes_Review_TFs	Krouk_2010_KNO3
At1g68500	AT2G18420	At3g47510	AT3G01620	AT1G59940		At4g39780
At2g36580	AT3G03910	At5g59220	AT3G01970	AT2G27830		At5g04310
At1g30870	AT3G13610	At2g36690	AT3G02350	AT3G58760		At5g07150
At1g12140	AT1G59860	At4g39040	AT3G02360	AT4G26130		At5g09380
At5g10820	AT1G48000	At1g12290	AT3G04220	AT3G61830		At5g09800
At3g63260	AT1G51890	At5g26660	AT3G05220	AT2G38170		At5g10210
At1g66140	AT1G08050	At4g33710	AT3G05370	AT2G34355		At5g10820
At2g18800	AT2G26290	At1g63580	AT3G06330	AT1G08650		At5g11510
At3g55440	AT2G29500	At1g69810	AT3G06370	AT5G20880		At5g11930
At1g16170	AT1G51680	At3g50400	AT3G07180	AT4G08300		At5g14980
At4g34760	AT5G15120	At1g80460	AT3G07350	AT2G41310		At5g16440
At5g49100	AT1G18390	At4g04040	AT3G08580	AT4G35090		At5g16770
At4g25820	AT1G74710	At4g24780	AT3G09020	AT3G50660		At5g17280
At5g47100	AT5G25350	At1g21670	AT3G09520	AT5G49480		At5g17300
At1g31770	AT1G77120	At1g79640	AT3G09920	AT4G37300		At5g17640
At5g51040	AT1G66880	At1g69770	AT3G10960	AT1G37130		At5g17880
At1g44100	AT4G39950	At2g26670	AT3G11840	AT3G50900		At5g35940
At2g47200	AT1G79160	At1g29980	AT3G12700	AT1G13245		At5g35980
At1g78000	AT5G47220	At2g19570	AT3G13380	AT5G07890		At5g36160
At1g25550	AT1G60730	At3g52950	AT3G13730	AT2G22480		At5g36870
At5g12470	AT1G72680	At3g19660	AT3G13810	AT1G76350		At5g36940
At1g55120	AT2G41380	At3g13750	AT3G14260	AT1G64185		At5g37055
At1g43790	AT1G05340	At1g04770	AT3G14470	AT2G26820		At5g37710
At2g17060	AT4G33420	At5g60920	AT3G15810	AT5G57660		At5g42830
At5g64510	AT3G09350	At2g36080	AT3G16560	AT1G67910		At5g47430
At3g58990	AT1G13330	At2g38180	AT3G16910	AT3G17510		At5g49910
At3g58610	AT4G17500	At1g01380	AT3G17120	AT5G26010		At5g50110
At4g25835	AT5G05410	At5g52250	AT3G17240	AT2G30100		At5g51700
At1g09780	AT4E08180	At5g61570	AT3G17420	AT2G43760		At5g52210
At4g34750	AT3G46230	At4g13770	AT3G17510	AT5G19260		At5g55750
At4g00680	AT4G35630	At3g23560	AT3G18560	AT3G09810		At5g56070
At2g46630	AT5G22570	At5g02790	AT3G18930	AT3G47720		At5g58240
At4g09620	AT3G08970	At2g17430	AT3G19020	AT2G36590		At5g60100
At5g03340	AT1G76070	At5g05170	AT3G21230	AT5G54810		At5g62530
At3g11280	AT2G15220	At3g44940	AT3G21270	AT5G37260		At5g64880
At5g51460	AT1G65060	At1g73780	AT3G21650	AT5G44730		At5g65110
At3g49750	AT2G29460	At5g60520	AT3G21690	AT3G25780		At5g66800
At1g49160	AT3G60130	At5g30440	AT3G21700	AT5G08360		At5g67420
At3g54900	AT2G44790	At3g22550	AT3G21780	AT1G02030		AtCg00080
At5g13750	AT2G29870	At5g47020	AT3G21781	AT1G07610		AtCg00180
At1g07610	AT4G11290	At4g15800	AT3G22380	AT1G59960		AtCg00300
At5g04590	AT2G26560	At2g29490	AT3G23160	AT3G26090		AtCg00510
At5g04540	AT1G74010	At4g37290	AT3G23430	AT2G41440		AtCg00780
At2g27830	AT3G50480	At4g25230	AT3G23590	AT5G27100		AtMg01040
At4g17550	AT2G15170	At4g02700	AT3G23820	AT5G42610		AtMg01370
At3g19030	AT5G14730	At3g09070	AT3G24420	AT5G40470		At1g13300
At4g36380	AT1G73810	At4g29090	AT3G24518	AT1G13420		At1g14540
At5g51440	AT1G57720	At2g35930	AT3G24520	AT4G17900		At1g14550
At3g25780	AT2G26150	At1g23330	AT3G25730	AT5G59930		At1g24280
At1g78370	AT5G04340	At1g16070	AT3G25740	AT3G13620		At1g26380
At3g48360	AT4G37370	At2g35380	AT3G25900	AT5G15330		At1g49000
At4g24670	AT2G35730	At1g10170	AT3G26440	AT3G57040		At1g49230
At2g01260	AT1G61820	At5g19550	AT3G26500	AT4G13620		At1g64190
At5g10210	AT1G16030	At4g33810	AT3G26910	AT1G75140		At1g69760
At1g49230	AT1G73805	At4g11650	AT3G27010	AT3G15760		At1g78050
At3g18820	AT2G28860	At3g53150	AT3G29670	AT5G50850		At2g15620
At5g49350	AT2G03760	At4g35985	AT3G46110	AT5G20885		At2g30040
At1g22650	AT2G18690	At1g08770	AT3G46280	AT5G13180		At2g43000
At3g01260	AT1G09932	At3g09600	AT3G47820	AT4G37610		At3g04980
At3g03190	AT3G13520	At2g32310	AT3G48090	AT5G62900		At3g07350
At1g52070	AT5G17760	At4g32950	AT3G48100	AT1G30260		At3g16150
At1g65840	AT2G34390	At5g16040	AT3G48360	AT5G12470		At3g18560
At5g01610	AT5G54160	At1g62710	AT3G48990	AT5G03320		At3g18710
At5g01740	AT5G07460	At5g61660	AT3G49620	AT1G15380		At3g28510
At3g52360	AT1G17170	At4g22460	AT3G49690	AT5G44400		At3g47540
At4g26970	AT2G20560	At1g14700	AT3G49810	AT5G50800		At3g50900
At2g16060	AT5G17990	At4g26320	AT3G49940	AT1G69260		At3g60690
At1g20450	AT2G22470	At1g06160	AT3G52360	AT4G01840		At4g04840
At2g23030	AT2G47180	At5g25080	AT3G52870	AT3G03910		At4g05390
At1g23140	AT1G27730	At4g31030	AT3G53810	AT5G55260		At4g34760
At4g38340	AT1G77400	At1g14400	AT3G53930	AT3G17609		At4g36880
At4g36040	AT4G28080	At5g58010	AT3G54030	AT2G17820		At4g37240
At1g62660	AT2G35370	At1g67870	AT3G54100	AT4G03500		At4g39940
At4g34950	AT2G21650	At1g71697	AT3G54420	AT1G66200		At4g39950
At4g30470	AT3G56940	At5g24470	AT3G55740	AT5G03380		At4g40070
At4g17870	AT3G57450	At1g59990	AT3G55850	AT2G40970		At5g01740
At4g37540	AT5G40730	At1g22500	AT3G55950	AT5G54800		At5g04840
At5g56350	AT5G13630	At2g39520	AT3G58830	AT1G19330		At5g13110
At5g53160	AT1G51402	At1g17190	AT3G59220	AT5G57685		At5g17490
At4g21410	AT3G47070	At1g67940	AT3G59700	AT5G63780		At5g19120
At3g12670	AT2G32860	At5g44400	AT3G59750	AT3G14940		At5g19260
At5g03380	AT2G39510	At3g47210	AT3G60220	AT4G34740		At5g28610
At3g60690	AT5G20630	At3g17210	AT3G60750	AT5G47560		At5g39580
At1g72160	AT5G36140	At5g57000	AT3G62100	AT5G61410		At5g40850
At1g03820	AT4G19430	At2g31790	AT4G00340	AT5G04250		At5g40990
At4g27070	AT3G61470	At5g67450	AT4G00700	AT1G12580		At5g41670
At4g30670	AT4G11320	At3g04550	AT4G00900	AT3G11410		At5g45340
At2g31670	AT3G05730	At5g47780	AT4G00940	AT2G36530		At5g54170
At1g12110	AT2G01520	At2g29630	AT4G01720	AT1G79550		At1g08090
At2g41560	AT3G54260	At5g19600	AT4G02330	AT5G48970		At1g12820
At1g78050	AT1G31810	At4g26940	AT4G03460	AT5G17860		At1g15100
At2g26980	AT1G14960	At1g11170	AT4G03480	AT2G28550		At1g15550
At4g32870	AT4G14040	At3g58680	AT4G05390	AT3G22750		At1g16170
At3g50910	AT1G15820	AtCg00380	AT4G09000	AT5G15070		At1g19050
At4g02380	AT1G32900	At2g39450	AT4G09010	AT1G31230		At1g21000
At5g65210	AT3G08940	At2g03730	AT4G11350	AT5G06510		At1g24440
At2g29700	AT4G37930	At2g42600	AT4G12000	AT5G49080		At1g30510
At1g15550	AT5G42070	At1g74440	AT4G12250	AT5G15830		At1g43710
At4g05070	AT4G18197	At1g14080	AT4G13250	AT2G42350		At1g49860
At1g66200	AT2G23120	At4g18010	AT4G15630	AT5G59050		At1g55310
At3g10520	AT3G16670	At4g39940	AT4G16490	AT3G02910		At1g61930
At3g61590	AT1G12900	At5g08570	AT4G17250	AT1G53510		At1g62180
